1516609240717 河南 0 9 18
1516609240717 河南 0 30 16
1516609240717 河南 6 78 6
1516609240717 河南 7 12 18
1516609240717 河南 9 77 17
1516609240717 湖南 7 6 23
1516609240717 湖南 5 95 9
1516609240717 湖南 1 79 7
1516609240717 湖北 7 96 9
1516609240717 湖南 4 98 4
1516609240717 北京 7 45 24
1516609240717 湖南 1 43 10
1516609240717 上海 5 68 10
1516609240717 湖北 9 21 11
1516609240717 上海 7 1 15
1516609241720 上海 1 84 10
1516609241720 上海 4 78 29
1516609241720 山西 3 13 22
1516609241720 湖南 7 84 1
1516609241720 湖南 8 31 29
1516609241720 湖北 9 80 10
1516609241720 四川 6 35 13
1516609241720 山西 3 50 6
1516609241720 新疆 1 45 11
1516609241720 湖南 6 98 15
